,학교명,Latitude,Longitude,건물등급,인적등급,재난등급,공사등급,간접등급,재산등급,people_scope,property_scope,indirect_scope,construction_scope,disaster_scope
0,서전주중학교 강당/급식소/교사,35.8103054,127.1127264,70,5.0,0,0,0,2.0,11310,13641600,0,0,0
1,서전주중학교 교사,35.8103054,127.1127264,70,5.0,0,0,0,3.0,11310,26952000,0,0,0
2,전라고등학교 전라고등학교 10동(기숙사),35.859966299999996,127.1248906,70,9.0,0,0,10,7.0,58331,98000000,17,0,0
3,전라고등학교 전라고등학교 1동(본관),35.859966299999996,127.1248906,70,9.0,0,0,10,5.0,58331,55703200,17,0,0
4,"전라고등학교 전라고등학교 2동(강당, 급식소)",35.859966299999996,127.1248906,70,9.0,0,0,10,7.0,58331,95060000,17,0,0
5,전라고등학교 전라고등학교 6동(학습동),35.859966299999996,127.1248906,70,9.0,0,0,10,7.0,58331,95060000,17,0,0
6,전라고등학교 전라고등학교 7동(정진관),35.859966299999996,127.1248906,70,9.0,0,0,10,7.0,58331,97020000,17,0,0
7,전라북도교육문화회관 공연장동,35.8291331,127.1378158,70,7.0,0,0,8,9.0,19926,390339000,7,0,0
8,전라북도교육문화회관 본관동,35.8291925,127.1375569,70,7.0,0,0,8,9.0,17712,244928000,7,0,0
9,전라북도교육문화회관 예능관동,35.8291925,127.1375569,70,7.0,0,0,8,5.0,17712,66376200,7,0,0
10,전라북도교육문화회관 체육관동,35.8291925,127.1375569,70,7.0,0,0,8,7.0,17712,101175200,7,0,0
11,전라북도교육연구정보원 청사,35.8360812,127.14725770000001,60,5.0,0,0,2,5.0,11070,68776400,1,0,0
12,전라북도완주교육지원청 완주교육지원청,35.8351919,127.14522269999999,70,1.0,0,0,0,8.0,2587,191550800,0,0,0
13,전라북도전주교육지원청 영재교육원,35.830294,127.13680490000002,70,9.0,0,0,8,7.0,43400,124020000,6,0,0
14,전라북도전주교육지원청 청사,35.8303723,127.13650449999999,70,8.0,0,0,6,8.0,37975,191820000,4,0,0
15,전라중학교 교사3동,35.8379049,127.12332579999999,70,1.0,0,0,6,6.0,1658,79355100,5,0,0
16,전북대 건지아트홀및휴게동,35.844182,127.12927759999998,70,10.0,0,0,10,5.0,67588,57964000,38,0,0
17,전북대 공과대학 4호관,35.844182,127.12927759999998,80,9.0,0,0,10,5.0,51728,57964000,38,0,0
18,전북대 공과대학 8호관,35.844182,127.12927759999998,70,9.0,0,0,10,3.0,51728,25189400,38,0,0
19,전북대 공과대학1호관,35.844182,127.12927759999998,80,9.0,0,0,10,5.0,51728,57964000,38,0,0
20,전북대 공과대학2호관,35.844182,127.12927759999998,80,9.0,0,0,10,5.0,51728,57964000,38,0,0
21,전북대 공과대학3호관,35.844182,127.12927759999998,80,9.0,0,0,10,5.0,51728,67381000,38,0,0
22,전북대 공과대학5호관,35.844182,127.12927759999998,70,9.0,0,0,10,5.0,51728,68112000,38,0,0
23,전북대 공과대학6호관,35.844182,127.12927759999998,70,9.0,0,0,10,6.0,51728,84022000,38,0,0
24,전북대 공과대학7호관,35.844182,127.12927759999998,85,9.0,0,0,10,3.0,51728,24940000,38,0,0
25,전북대 공대부속공장,35.844182,127.12927759999998,70,10.0,0,0,10,6.0,79117,72197000,38,0,0
26,전북대 글로벌인재관(구학습도서관),35.844182,127.12927759999998,80,10.0,0,0,10,5.0,63745,57964000,38,0,0
27,전북대 농과대학1호관,35.844182,127.12927759999998,85,8.0,0,0,10,2.0,41541,21151700,38,0,0
28,전북대 농과대학2호관,35.844182,127.12927759999998,85,8.0,0,0,10,5.0,41541,57964000,38,0,0
29,전북대 농과대학3호관,35.844182,127.12927759999998,85,8.0,0,0,10,5.0,41541,57964000,38,0,0
30,전북대 농과대학4호관,35.844182,127.12927759999998,85,8.0,0,0,10,2.0,41541,19724100,38,0,0
31,전북대 농대본관,35.844182,127.12927759999998,85,8.0,0,0,10,2.0,41541,15381100,38,0,0
32,전북대 농대본관(농업과학기술연구소),35.844182,127.12927759999998,85,8.0,0,0,10,3.0,41541,23103900,38,0,0
33,전북대 농대시설재배온실,35.844182,127.12927759999998,85,8.0,0,0,10,5.0,41541,57964000,38,0,0
34,전북대 대학본부(별관포함),35.844182,127.12927759999998,80,8.0,0,0,10,6.0,31964,69445000,38,0,0
35,전북대 동아리전용관,35.844182,127.12927759999998,70,8.0,0,0,10,5.0,31293,57964000,38,0,0
36,전북대 반도체물성연구소,35.844182,127.12927759999998,70,9.0,0,0,10,5.0,43188,57964000,38,0,0
37,전북대 변전실,35.844182,127.12927759999998,85,8.0,0,0,10,5.0,31293,57964000,38,0,0
38,전북대 사대부고(본관),35.8441821,127.1292777,85,10.0,0,0,10,5.0,75030,59168000,38,0,0
39,전북대 사대부고생활관,35.8441821,127.1292777,85,10.0,0,0,10,3.0,75030,26685800,38,0,0
40,전북대 사대부고체육관,35.8441821,127.1292777,85,10.0,0,0,10,3.0,75030,24940000,38,0,0
41,전북대 사범대 과학관,35.844182,127.12927759999998,80,7.0,0,0,10,3.0,25559,23650000,38,0,0
42,전북대 사범대 본관,35.844182,127.12927759999998,80,7.0,0,0,10,3.0,25559,22669600,38,0,0
43,전북대 사회과학대학,35.844182,127.12927759999998,70,9.0,0,0,10,2.0,43188,15381100,38,0,0
44,전북대 산학협련단별관,35.844182,127.12927759999998,70,9.0,0,0,10,3.0,43188,21543000,38,0,0
45,전북대 상과대학 1호관,35.844182,127.12927759999998,80,8.0,0,0,10,2.0,34587,18563100,38,0,0
46,전북대 상과대학 2호관,35.844182,127.12927759999998,85,8.0,0,0,10,3.0,41358,22467500,38,0,0
47,전북대 생활과학대학,35.844182,127.12927759999998,70,10.0,0,0,10,1.0,68381,7804500,38,0,0
48,전북대 생활관 3호관(진리관),35.844182,127.12927759999998,80,9.0,0,0,10,1.0,47580,7804500,38,0,0
49,전북대 생활관 5호관(대동관),35.844182,127.12927759999998,70,8.0,0,0,10,2.0,40504,21117300,38,0,0
50,전북대 생활관 관리동,35.844182,127.12927759999998,70,9.0,0,0,10,2.0,47580,17075300,38,0,0
51,전북대 언어교육원,35.844182,127.12927759999998,80,10.0,0,0,10,1.0,76860,4398900,38,0,0
52,전북대 예술대 미술관,35.844182,127.12927759999998,80,9.0,0,0,10,2.0,47580,14340500,38,0,0
53,전북대 예술대 예체능관,35.844182,127.12927759999998,80,9.0,0,0,10,2.0,47580,14340500,38,0,0
54,전북대 예술대학 2호관,35.844182,127.12927759999998,80,9.0,0,0,10,2.0,47580,14340500,38,0,0
55,전북대 예술대학 본관,35.844182,127.12927759999998,70,9.0,0,0,10,3.0,47580,24940000,38,0,0
56,전북대 의과대학1호관,35.8471872,127.14058940000001,80,7.0,0,0,8,1.0,24240,333200,7,0,0
57,전북대 의과대학2호관,35.8471872,127.14058940000001,80,7.0,0,0,8,1.0,24240,504600,7,0,0
58,전북대 의학계 학생회관,35.8471872,127.14058940000001,70,7.0,0,0,8,1.0,24240,385000,7,0,0
59,전북대 의학계도서관,35.8471872,127.14058940000001,80,4.0,0,0,8,1.0,7472,306900,7,0,0
60,전북대 인문과학대학 1호관,35.844182,127.12927759999998,70,8.0,0,0,10,1.0,39833,8230200,38,0,0
61,전북대 인문과학대학 2호관,35.844182,127.12927759999998,80,6.0,0,0,10,3.0,15738,21246300,38,0,0
62,전북대 자연과학대학 1호관,35.844182,127.12927759999998,85,10.0,0,0,10,3.0,152683,21469900,38,0,0
63,전북대 자연과학대학 2호관,35.844182,127.12927759999998,85,10.0,0,0,10,3.0,102480,21246300,38,0,0
64,전북대 자연과학대학 3호관,35.844182,127.12927759999998,85,10.0,0,0,10,2.0,76067,14340500,38,0,0
65,전북대 자연과학대학 4호관,35.844182,127.12927759999998,85,10.0,0,0,10,3.0,82228,22987800,38,0,0
66,전북대 자연과학대학 5호관,35.844182,127.12927759999998,85,9.0,0,0,10,3.0,55510,23839200,38,0,0
67,전북대 자연과학대학 본관,35.844182,127.12927759999998,85,,0,0,10,2.0,345382,13196700,38,0,0
68,전북대 자연사박물관,35.844182,127.12927759999998,85,10.0,0,0,10,3.0,147315,23684400,38,0,0
69,전북대 정보전산원 교육동,35.844182,127.12927759999998,70,10.0,0,0,10,3.0,67649,22523400,38,0,0
70,전북대 정보전산원 본부동,35.844182,127.12927759999998,70,10.0,0,0,10,2.0,67649,12930100,38,0,0
71,전북대 제1학생회관,35.844182,127.12927759999998,85,10.0,0,0,10,3.0,76128,23220000,38,0,0
72,전북대 제2도서관(구중앙도서관 본관),35.844182,127.12927759999998,80,9.0,0,0,10,2.0,44225,15634800,38,0,0
73,전북대 제2학생회관,35.844182,127.12927759999998,85,10.0,0,0,10,2.0,82838,12930100,38,0,0
74,전북대 제2후생관,35.844182,127.12927759999998,70,9.0,0,0,10,2.0,46787,12930100,38,0,0
75,전북대 체육관,35.844182,127.12927759999998,80,8.0,0,0,10,3.0,40748,23220000,38,0,0
76,전북대 치과대학 2호관,35.8471872,127.14058940000001,70,8.0,0,0,8,1.0,31344,340300,7,0,0
77,전북대 치과대학 3호관(수의과대학 본관),35.8471872,127.14058940000001,70,7.0,0,0,8,1.0,24544,572000,7,0,0
78,전북대 치과대학 본관,35.8471872,127.14058940000001,80,7.0,0,0,8,1.0,22800,300700,7,0,0
79,전북대 치과대학 의학계열공용관(동물병원 전주캠),35.8471872,127.14058940000001,70,10.0,0,0,8,1.0,137312,523800,7,0,0
80,전북대 평생교육원,35.844182,127.12927759999998,80,10.0,0,0,10,3.0,86925,26075200,38,0,0
81,전북대 학습도서관(구중앙도서관 별관),35.844182,127.12927759999998,80,10.0,0,0,10,2.0,86925,19629500,38,0,0
